feature,importance
glcm_dissimilarity_d2_a135,0.0015354456109856088
glcm_homogeneity_d1_a90,0.001535038305830279
glcm_dissimilarity_d1_a45,0.001523176878697848
glcm_correlation_d1_a90,0.0015172011592363534
glcm_correlation_d2_a90,0.0014979188313050313
glcm_homogeneity_d3_a45,0.0014951182659302099
glcm_homogeneity_d2_a45,0.0014820898650288474
glcm_homogeneity_d2_a90,0.0014566064298180681
mean,0.0014557865068349505
glcm_dissimilarity_d3_a135,0.0014526236194340565
glcm_homogeneity_d3_a135,0.0014493022379130558
std,0.0014370958878945042
glcm_homogeneity_d3_a90,0.0014361755847523195
dct_magnitude_mean,0.001432956598781327
glcm_dissimilarity_d1_a135,0.0014311228532498934
variance,0.001423590056460103
skewness,0.001419656413819064
glcm_contrast_d3_a0,0.0014074930324663004
glcm_dissimilarity_d2_a0,0.0013759588677743724
high_freq_energy,0.0013372711863692474
dct_magnitude_std,0.0013316501306004083
fft_magnitude_kurtosis,0.0012532638052496462
glcm_correlation_d3_a45,0.0012487281229582399
glcm_contrast_d2_a0,0.0011750962036018754
glcm_correlation_d3_a135,0.0011062229361267334
fft_magnitude_skew,0.0010918872018751994
fft_magnitude_mean,0.001076707289376995
iqr,0.0010644445840503347
dct_magnitude_skew,0.0010290996934388264
percentile_25,0.001003490411098984
percentile_10,0.0008689246173245971
hist_mean,0.0
